factor,weight_regression,weight_baseline
F1_institutional,0.2473586120131781,0.25
F2_macro,0.14290840109317618,0.2
F3_openness,0.216211231978504,0.18
F4_energy,0.15938582780414787,0.15
F5_security,0.12946543760862353,0.12
F6_human_capital,0.03680411603351329,0.05
F7_financial,0.06786637346885684,0.05
